OP,filename,slice,cell_ch,cell_ID,day,treatment,hrs_incubation,repatch,hrs_after_OP,Rs,Rin,resting_potential,max_spikes,Rheobase,AP_heigth,TH,max_depol,max_repol,membra_time_constant_tau,capacitance,comments,rheo_ramp,AP_halfwidth,Rheobse_ramp,Unnamed: 27,rheos_ramp,comment, ,high K concentration,RMP_from_char
OP240201,24201004.abf,S1,5,24201S1c5,D1,high K,0,no,9.856111111,7.989610653,54.23869222,-54.03442383,25,400,84.67407227,-36.76147461,323.6083984,-82.76367188,15.75,424.7703704,4,,0.92803316,114.8438281,,,,,8 mM,-69.45679108
OP240201,24201004.abf,S1,6,24201S1c6,D1,high K,0,no,9.856111111,19.43676784,55.79062937,-58.35571289,29,450,83.99047852,-40.5090332,344.8486328,-61.03515625,17.2,696.6744129,5,,1.237340459,166.1155372,,,,,8 mM,-67.74392349
OP240201,24201004.abf,S1,8,24201S1c8,D1,high K,0,no,9.856111111,8.334526892,74.69525761,-73.31542969,37,200,83.97216797,-37.49389648,312.6220703,-79.46777344,19.9,327.351004,7,,0.91553694,315.9105304,,,,,8 mM,-69.47863617
OP240201,24201018.abf,S2,1,24201S2c1,D1,Ctrl,0,no,11.55388889,7.517338792,52.8149681,-67.90161133,28,250,85.60791016,-33.54492188,408.8134766,-81.54296875,19.55,443.6387812,8,,0.913293499,550.6983566,,,,,8 mM,-61.21498108
OP240201,24201018.abf,S2,2,24201S2c2,D1,Ctrl,0,yes,11.55388889,12.47546105,63.27218609,-69.2199707,34,150,86.76147461,-36.04125977,363.1591797,-67.26074219,22.1,523.6245842,9,,1.053433449,408.4036135,,,,,8 mM,-62.2832486
OP240201,24201018.abf,S2,5,24201S2c5,D1,Ctrl,0,yes,11.55388889,22.16621629,70.22223095,-70.56884766,41,100,90.14282227,-42.72460938,380.1269531,-88.37890625,22.6,457.6988875,12,,0.865955112,408.6136205,,,,,8 mM,-62.37043732
OP240201,24201018.abf,S2,8,24201S2c8,D1,Ctrl,0,no,11.55388889,8.049298637,52.13173262,-65.46630859,33,300,87.87231445,-35.38818359,408.3251953,-92.89550781,15.1,387.1649452,14,,0.842074579,448.7249575,,,,,8 mM,-61.20863968
OP240201,24201038.abf,S1_D2,2,24201S1_D2c2,D2,high K,20,no,29.45305556,11.40509985,96.18467695,-79.99267578,33,200,69.51904297,-29.83398438,254.3945313,-81.42089844,23.45,343.6536673,15,,0.777066731,332.7410914,,,,,8 mM,-59.44737183
OP240201,24201038.abf,S1_D2,5,24201S1_D2c5,D2,high K,20,no,29.45305556,6.58356222,62.71807114,-75.83618164,18,350,71.82617188,-26.37939453,301.7578125,-74.82910156,19.8,410.636962,16,,0.82397949,745.7348578,,,,,8 mM,-61.77360016
OP240201,24201038.abf,S1_D2,7,24201S1_D2c7,D2,high K,20,no,29.45305556,7.857365917,63.98318093,-67.02880859,19,250,67.79785156,-28.69262695,217.2851563,-62.01171875,18.25,390.6048334,17,,1.004357392,353.6517884,,,,,8 mM,-61.25591019
